sample_id,A1_cm2,A2_cm2,A3_cm2,A4_cm2,A5_cm2,A6_cm2,A7_cm2,A8_cm2,A9_cm2,A10_cm2,E_GPa,P2_kN,P4_kN,density_kg_m3,mass_kg,max_disp_mm,v_node2_mm,v_node4_mm,max_abs_stress_MPa,stress1_MPa,stress2_MPa,stress3_MPa,stress4_MPa,stress5_MPa,stress6_MPa,stress7_MPa,stress8_MPa,stress9_MPa,stress10_MPa,split
2151,142.404,121.086,23.0085,24.3331,11.5794,217.596,44.6566,119.951,82.4987,101.274,137.194,553.632,231.439,3320.84,3135.85,67.8808,-60.222,-28.6454,317.602,81.5693,15.1054,-317.602,-152.355,204.864,8.40571,56.0924,-71.6766,63.5511,-25.5411,test
2152,164.181,172.767,143.605,108.949,54.4892,54.8915,88.2642,30.9514,16.3432,85.3674,174.164,557.459,570.361,5543.58,5126.44,39.4902,-39.0696,-18.8999,139.13,52.5005,23.8581,-96.1508,-13.3335,29.2227,75.0919,131.916,-139.13,125.704,-68.2843,train
2153,52.313,103.624,211.007,168.331,10.4888,130.85,35.4587,145.369,199.186,192.786,144.113,574.776,445.434,4899.63,6660.63,46.2337,-44.3173,-25.7071,219.407,219.407,7.68724,-48.4336,-29.4134,74.2581,6.08772,178.36,-55.7445,35.1532,-5.84344,train
2154,219.841,148.26,23.8128,80.0179,189.025,220.651,6.31972,149.018,188.52,55.2878,114.494,312.605,294.562,7334.65,9698.6,34.321,-31.6998,-13.9029,134.948,41.4404,5.01816,-134.948,-29.7691,19.0566,3.37181,19.5663,-56.7918,17.8694,-19.0307,train
2155,121.842,148.879,116.547,134.065,25.8991,65.5128,114.032,222.831,211.509,213.3,143.617,345.585,460.927,5517.6,8526.09,20.0338,-19.2807,-10.209,63.2417,62.4264,3.20483,-63.2417,-22.2185,45.237,7.28304,48.5511,-26.3403,19.9167,-3.16347,test
2156,169.847,42.8932,213.517,221.147,201.884,85.2931,101.512,112.275,164.044,157.733,114.866,515.513,262.61,3635.11,5624.07,26.3698,-25.9473,-12.0629,54.5286,53.1202,34.691,-42.4753,-16.5823,0.99084,17.4458,54.5286,-48.7108,31.614,-13.3413,train
2157,119.039,220.946,131.28,184.774,206.614,16.2632,220.061,176.54,69.733,154.06,184.053,549.884,290.746,3838.14,6163.85,23.1595,-22.6539,-6.8464,118.898,77.448,8.75171,-77.5796,-19.2948,0.751492,118.898,30.1135,-29.8035,72.3034,-17.7502,train
2158,87.5527,97.1497,126.654,3.64755,80.967,129.501,136.292,33.803,40.6238,45.6691,201.821,591.698,419.327,7658.89,6219.33,43.4313,-38.959,-12.5414,313.541,91.3243,49.1336,-110.131,-313.541,11.5486,36.8594,83.3379,-86.967,39.8135,-147.813,train
2159,129.116,2.67053,156.375,196.234,144.165,78.5703,72.4681,120.092,26.7264,36.5863,200.929,449.093,282.203,2817.36,2753.92,35.4172,-31.175,-7.74327,321.617,67.3071,321.617,-48.6296,-18.5088,3.9359,10.9315,60.7599,-49.4532,192.187,-33.1996,train
2160,4.61714,152.73,49.7085,222.343,95.9363,133.71,166.252,148.615,172.981,81.8771,204.844,419.146,312.445,3750.49,5023.3,61.4369,-57.5767,-18.9791,504.113,504.113,12.3421,-268.994,-10.3734,-43.4702,14.0977,78.0876,17.7369,18.8566,-32.5585,train
