sample_id,r_inner_mm,wall_ratio_ro_ri,p_internal_MPa,p_external_MPa,E_GPa,poisson,yield_MPa,hoop_stress_inner_MPa,hoop_stress_outer_MPa,axial_stress_MPa,von_mises_inner_MPa,tresca_inner_MPa,radial_disp_inner_um,radial_disp_outer_um,safety_factor_vm,split
124,28.0948,1.65508,127.729,27.8838,154.205,0.289664,380.525,186.772,86.9274,29.5218,272.366,314.501,39.2111,26.0691,1.39711,train
125,93.8891,2.22479,92.108,18.8178,92.1917,0.273951,427.303,91.5842,18.294,-0.261895,159.082,183.692,119.041,53.2926,2.68605,test
126,140.428,2.48017,5.08642,5.18771,139.093,0.328421,291.228,-5.32834,-5.22704,-5.20738,0.20951,0.241921,-1.96633,-4.53989,1390.04,train
127,75.1071,2.46771,58.3791,19.2162,147.38,0.288275,591.944,35.3361,-3.82684,-11.5215,81.1597,93.7152,28.2769,6.33078,7.29357,train
128,164.541,1.11286,88.9235,22.2023,97.5038,0.263468,897.962,604.1,537.379,257.588,600.176,693.024,944.446,892.726,1.49616,train
129,89.7578,1.48945,125.739,29.3392,164.458,0.290555,722.985,225.295,128.895,49.778,304.005,351.035,135.008,99.9529,2.3782,train
130,164.952,1.12518,120.285,11.1861,124.533,0.345893,548.316,918.113,809.014,398.914,899.279,1038.4,1088.45,1005.86,0.609729,train
131,39.0285,1.17879,5.977,7.08633,163.217,0.279269,879.654,-13.8911,-12.7818,-9.93407,6.85384,7.91413,-2.25912,-2.26302,128.345,train
132,127.904,1.826,99.4397,11.0366,204.607,0.336252,773.617,153.11,64.7068,26.8351,218.714,252.55,110.974,67.7972,3.53711,train
133,83.3778,1.49252,129.463,21.7679,206.14,0.251184,295.558,261.381,153.687,65.9594,338.481,390.844,112.173,86.0769,0.873189,train
134,142.976,2.60078,122.467,2.02037,115.095,0.328299,619.627,160.219,39.7722,18.8759,244.813,282.686,241.279,110.618,2.53102,train
135,155.107,2.18404,72.5623,14.6105,207.468,0.258785,890.22,74.0847,16.1329,0.761195,127,146.647,69.2789,32.1944,7.0096,train
136,60.9017,2.02432,72.0181,0.939111,117.938,0.273201,885.216,116.029,44.9498,22.0053,162.853,188.047,66.9712,40.9711,5.43566,train
137,176.647,2.49792,120.35,16.4196,135.658,0.270801,412.56,127.181,23.2513,3.41586,214.368,247.531,206.843,87.0828,1.92454,train
138,57.3491,2.7738,6.64767,27.4062,157.951,0.29614,662.573,-54.367,-33.6084,-30.5073,41.3262,47.7193,-15.7446,-16.5749,16.0328,train
139,160.939,1.83685,86.5697,10.3303,113.339,0.28029,670.407,130.137,53.8977,21.7837,187.674,216.707,210.578,132.208,3.5722,train
140,52.1658,2.56069,131.268,15.1088,172.235,0.30044,509.104,142.856,26.6965,5.79385,237.398,274.124,54.6852,22.8756,2.14452,train
141,100.944,2.6042,61.1808,12.477,161.237,0.31244,856.29,53.0739,4.37013,-4.05342,98.9475,114.255,45.9875,15.5455,8.65399,train
142,61.4515,2.78998,19.7988,3.90768,188.615,0.261085,405.609,16.6684,0.777216,-1.56523,31.5815,36.4672,7.24791,2.00533,12.8432,test
143,115.694,2.99386,16.6688,1.27291,180.873,0.342968,544.2,17.9898,2.59387,0.66048,30.0152,34.6586,15.0189,5.36949,18.1308,train
144,50.1305,2.27673,68.3302,5.86695,141.382,0.349004,426.498,86.4581,23.9949,9.06395,134.051,154.788,37.9899,18.4696,3.18162,train
145,162.528,1.16484,18.8711,22.3931,121.149,0.334987,326.301,-45.6538,-42.1318,-32.2625,23.1945,26.7827,-38.2675,-37.2281,14.068,train
146,93.1262,2.94139,74.5882,27.5379,130.684,0.292299,532.969,31.8102,-15.24,-21.389,92.1437,106.398,42.6597,-1.96768,5.78411,test
147,38.6779,1.4203,105.069,10.4495,139.642,0.348505,305.942,270.202,175.582,82.5665,324.994,375.271,77.0123,59.1855,0.941375,train
148,107.772,1.70727,137.643,20.6571,122.877,0.345114,258.978,218.521,101.535,40.4392,308.448,356.165,221.083,141.817,0.839617,test
149,168.214,1.71504,112.181,22.4144,107.423,0.334836,576.54,159.83,70.0634,23.8245,235.569,272.011,296.606,186.894,2.44744,train
150,103.277,1.12954,116.414,6.47413,97.0984,0.265888,857.173,900.503,790.564,392.045,880.676,1016.92,879.851,826.629,0.973312,train
151,161.799,2.01887,120.833,25.2617,170.994,0.288443,847.825,132.453,36.8817,5.81002,219.353,253.287,156.724,81.1733,3.86512,train
152,69.5188,2.49027,116.826,5.13929,149.982,0.262414,554.414,149.492,37.8053,16.333,230.638,266.318,81.5148,40.2471,2.40382,train
153,79.1695,1.61985,83.3572,1.63644,177.795,0.318321,589.081,180.732,99.0109,48.6872,228.708,264.089,85.3914,60.613,2.5757,train
154,105.188,2.55911,91.4695,20.6257,98.8144,0.287631,705.204,75.7519,4.9081,-7.85878,144.818,167.221,111.051,35.6897,4.86959,train
155,59.9839,1.64319,31.3273,28.7484,95.4446,0.342669,285.237,-23.1355,-25.7144,-27.2314,7.09436,8.19187,-1.92891,-6.74544,40.2061,test
156,191.217,1.78065,148.493,18.8269,85.0817,0.268097,455.222,230.309,100.642,40.9077,328.052,378.802,582.433,379.073,1.38765,train
157,79.3367,2.68426,68.4246,16.8366,129.972,0.285741,830.528,51.3786,-0.209389,-8.523,103.753,119.803,44.7833,11.53,8.00488,train
158,142.498,2.55025,110.193,29.848,186.952,0.340704,612.593,79.6934,-0.651576,-15.2498,164.446,189.886,93.32,28.6006,3.72518,test
159,82.1186,2.61004,41.4267,12.0885,170.407,0.33155,615.366,27.345,-1.99323,-7.04085,59.5581,68.7718,20.9213,5.47016,10.3322,train
160,99.2189,1.82956,135.987,24.9579,180.122,0.271064,897.076,180.672,69.6433,22.3427,274.235,316.66,116.491,70.901,3.27119,train
161,163.825,1.22435,28.7563,20.6114,170.756,0.258815,539.295,20.1764,12.0316,-4.28991,42.3769,48.9327,27.5631,21.7033,12.7261,train
162,26.421,2.37425,16.1851,12.4831,177.308,0.330123,493.475,-7.1845,-10.8864,-11.6848,7.79471,9.00056,0.300405,-1.02885,63.309,train
163,23.5469,1.81828,5.47668,29.5126,82.8474,0.326251,700.364,-74.3937,-50.3578,-39.9352,59.6839,68.917,-16.9333,-14.3153,11.7346,train
164,195.421,1.69551,56.4048,4.85322,141.694,0.274301,575.719,101.694,50.1421,22.6444,136.917,158.098,153.025,105.841,4.20486,train
165,93.0153,2.09103,114.64,17.4198,101.152,0.25629,898.878,137.457,40.2367,11.4085,218.322,252.097,150.728,80.3303,4.11721,test
166,109.517,2.12536,91.6535,29.4906,106.338,0.347569,729.245,68.0208,5.85792,-11.8163,138.282,159.674,107.092,44.2484,5.27361,train
167,134.444,1.98823,65.096,28.9315,132.702,0.304578,792.488,31.7258,-4.4387,-16.6851,83.8501,96.8218,57.3779,19.0457,9.45124,test
168,103.353,2.32516,33.1261,2.25707,137.894,0.272375,602.863,42.6231,11.754,4.74847,65.6007,75.7492,37.7397,19.3015,9.18988,test
169,158.869,1.64491,12.522,19.6601,191.765,0.306878,385.817,-35.1679,-28.0297,-23.8449,19.6119,22.6459,-19.8893,-20.0035,19.6726,train
170,92.9377,1.81733,7.76932,23.2892,121.747,0.26064,345.034,-52.2889,-36.769,-30.0291,38.5551,44.5196,-32.3952,-31.7303,8.94911,train
171,35.042,1.16707,143.181,20.2858,88.1785,0.291434,862.806,781.504,658.608,319.161,800.8,924.684,290.187,265.059,1.07743,train
172,184.567,1.74937,129.651,5.16255,198.319,0.306011,453.893,240.172,115.683,55.2604,320.276,369.823,244.703,163.38,1.41719,train
173,97.3407,1.77288,19.545,17.2594,129.954,0.341664,702.121,-12.8409,-15.1264,-16.1929,5.80593,6.70411,-0.47229,-4.90946,120.932,train
174,164.967,1.41077,14.5057,0.74169,209.218,0.258456,578.358,40.8207,27.0567,13.1575,47.9141,55.3265,32.4616,26.5279,12.0707,train
175,103.306,2.14201,100.742,18.0125,107.935,0.312814,282.729,110.829,28.0994,5.04348,183.226,211.571,134.728,65.925,1.54306,test
176,184.45,1.63278,75.6444,26.1477,172.316,0.31856,768.604,82.7704,33.2737,3.56301,137.191,158.415,113.178,70.7284,5.60242,train
177,106.245,2.56758,49.1857,23.4211,142.777,0.318336,814.223,11.5575,-14.2071,-18.8141,52.6051,60.7431,24.7083,-1.45606,15.478,test
