sample_id,diameter_mm,length_mm,k_W_mK,h_W_m2K,T_base_C,T_inf_C,heat_rate_W,T_tip_C,fin_efficiency,fin_effectiveness,biot_number,split
1104,5.12434,27.1307,61.0074,25.8847,127.628,0.163739,1.3876,112.331,0.919489,20.3924,0.00054355,train
1105,8.83877,82.58,96.7724,277.627,289.254,5.05679,60.5349,31.8583,0.325867,12.5041,0.00633932,train
1106,17.559,48.0777,24.3682,28.4393,198.053,21.6648,11.7778,148.987,0.811218,9.69588,0.00512313,train
1107,3.73854,112.624,68.8848,6.10376,224.408,0.861499,1.32089,134.236,0.72582,88.1873,8.28164e-05,test
1108,2.97758,95.4917,280.552,129.203,251.76,13.814,11.3709,56.9079,0.410861,53.1166,0.000342816,train
1109,5.31136,59.9549,362.582,7.39508,96.4272,12.1608,0.625246,94.0549,0.981205,45.2848,2.70821e-05,train
1110,3.40224,62.9219,30.1364,100.791,119.571,21.8702,1.67737,25.4566,0.249898,18.7366,0.00284469,train
1111,8.72936,17.6875,26.2488,8.62757,223.516,13.7685,0.967013,217.503,0.980664,8.9288,0.000717301,train
1112,13.8542,31.2273,391.408,429.026,116.825,30.866,49.5518,102.839,0.889894,8.91316,0.00379642,train
1113,11.5739,44.2439,309.499,5.1673,108.551,27.0891,0.718398,108.034,0.995749,16.2216,4.83087e-05,train
1114,18.7968,30.7776,171.148,10.323,256.669,20.4833,5.0806,254.807,0.994662,7.50923,0.000283438,train
1115,8.50247,55.2221,169.285,35.1415,209.676,1.65439,10.1355,180.263,0.905116,24.4194,0.000441254,train
1116,19.7395,12.6534,302.704,21.5,82.5647,2.62269,1.87195,82.4011,0.998551,3.55892,0.000350507,test
1117,12.8896,23.2314,127.453,34.3726,198.096,4.81855,6.98101,192.652,0.980957,8.05303,0.000869042,train
1118,17.5196,100.496,147.91,24.491,199.777,7.0093,24.0121,165.695,0.881136,21.0986,0.000725226,train
1119,19.562,61.0203,355.426,5.91833,56.1081,28.827,0.650802,55.9087,0.995101,13.4113,8.14338e-05,train
1120,11.8997,59.6771,35.0697,149.328,268.477,25.8983,35.1751,71.1114,0.41459,8.73128,0.0126674,train
1121,10.7328,108.298,16.9486,32.3533,260.644,35.0739,9.17628,58.4424,0.336011,13.8979,0.005122,test
